,Angle_deg,Err_deg,N,Geometry
0,0.0,8.093640320493401,1.0,3.0
1,2.0,7.932196873053301,1.0,3.0
2,4.0,9.463662650079543,1.0,3.0
3,6.0,10.366525711932363,1.0,3.0
4,8.0,9.748442506872824,1.0,3.0
5,10.0,10.519384775663314,1.0,3.0
6,12.0,12.057236908296543,1.0,3.0
7,14.0,10.778826445705235,1.0,3.0
8,16.0,11.377644787915353,1.0,3.0
9,18.0,12.153058410163913,1.0,3.0
10,20.0,10.443698777123675,1.0,3.0
11,22.0,11.223727910376024,1.0,3.0
12,24.0,11.770041553769282,1.0,3.0
13,26.0,10.20115940749725,1.0,3.0
14,28.0,10.960380769649595,1.0,3.0
15,30.0,10.402578712854208,1.0,3.0
16,32.0,9.845809514063456,1.0,3.0
17,34.0,10.995911691188438,1.0,3.0
18,36.0,11.483851557197537,1.0,3.0
19,38.0,12.577125242414905,1.0,3.0
20,40.0,13.44682658245244,1.0,3.0
21,42.0,16.094949913022063,1.0,3.0
22,44.0,13.894594704731926,1.0,3.0
23,46.0,12.774166703872403,1.0,3.0
24,48.0,5.716687467622584,1.0,3.0
25,50.0,8.741898150723246,1.0,3.0
26,52.0,10.144777143587557,1.0,3.0
27,54.0,15.204684670587131,1.0,3.0
28,56.0,20.123368122050195,1.0,3.0
29,58.0,26.044932437106,1.0,3.0
30,60.0,12.16952235917709,1.0,3.0
31,62.0,14.953838278683415,1.0,3.0
32,64.0,16.113771984846167,1.0,3.0
33,66.0,18.00511581952973,1.0,3.0
34,68.0,16.102909501718987,1.0,3.0
35,70.0,14.981702803798791,1.0,3.0
36,72.0,16.53518835151759,1.0,3.0
37,74.0,22.261178357497233,1.0,3.0
38,76.0,25.788914253710406,1.0,3.0
39,78.0,17.149124425795616,1.0,3.0
40,80.0,8.593132912416126,1.0,3.0
41,82.0,9.805703644306737,1.0,3.0
42,84.0,8.705613300097186,1.0,3.0
43,86.0,12.539527106494049,1.0,3.0
44,88.0,15.820365200792368,1.0,3.0
45,90.0,11.929615430901384,1.0,3.0
46,92.0,12.372124792036507,1.0,3.0
47,94.0,10.897294014462165,1.0,3.0
48,96.0,11.051609511446365,1.0,3.0
49,98.0,12.968957440840335,1.0,3.0
50,100.0,12.214632288055142,1.0,3.0
51,102.0,11.657420567711378,1.0,3.0
52,104.0,11.440243813167962,1.0,3.0
53,106.0,10.220419172784425,1.0,3.0
54,108.0,9.58399088856478,1.0,3.0
55,110.0,8.203989360327773,1.0,3.0
56,112.0,9.138670891779597,1.0,3.0
57,114.0,9.868346805388011,1.0,3.0
58,116.0,8.60434059543841,1.0,3.0
59,118.0,8.555005861586984,1.0,3.0
60,120.0,9.602046570475334,1.0,3.0
61,122.0,11.876685917263366,1.0,3.0
62,124.0,11.86229834575786,1.0,3.0
63,126.0,11.39902127791828,1.0,3.0
64,128.0,9.359754301084834,1.0,3.0
65,130.0,9.057452715354241,1.0,3.0
66,132.0,11.425686080305915,1.0,3.0
67,134.0,13.697575810646322,1.0,3.0
68,136.0,11.622201311973225,1.0,3.0
69,138.0,13.138769988183366,1.0,3.0
70,140.0,13.441484484462476,1.0,3.0
71,142.0,13.504026661196892,1.0,3.0
72,144.0,14.64142955617702,1.0,3.0
73,146.0,17.88796415235027,1.0,3.0
74,148.0,20.578523663810966,1.0,3.0
75,150.0,23.507293002175498,1.0,3.0
76,152.0,23.887557457753186,1.0,3.0
