,Vel_ms,Err_ms,N,Geometry
0,1.2636373043060305,0.2844091097626864,1.0,3.0
1,1.5856298208236697,0.10701861708989073,1.0,3.0
2,2.0706634521484366,0.21594321807888708,1.0,3.0
3,2.571993112564087,0.2856930007624517,1.0,3.0
4,3.182913780212403,0.3062903386163511,1.0,3.0
5,3.7532234191894527,0.28580932237885814,1.0,3.0
6,4.336266040802002,0.2808640526803854,1.0,3.0
7,4.914134979248047,0.3447751190176561,1.0,3.0
0,1.2636373043060305,0.2793800014195375,1.0,4.0
1,1.5856298208236697,0.11047451972357425,1.0,4.0
2,2.0706634521484366,0.09917908609638619,1.0,4.0
3,2.571993112564087,0.10666430012252771,1.0,4.0
4,3.182913780212403,0.15456512688830154,1.0,4.0
5,3.7532234191894527,0.13946742263043882,1.0,4.0
6,4.336266040802002,0.1732592699661495,1.0,4.0
7,4.914134979248047,0.18625689440578153,1.0,4.0
0,1.2636373043060305,0.21453306533467523,1.0,5.0
1,1.5856298208236697,0.06856542484425356,1.0,5.0
2,2.0706634521484366,0.07741682312671584,1.0,5.0
3,2.571993112564087,0.157589900464349,1.0,5.0
4,3.182913780212403,0.14837606836779133,1.0,5.0
5,3.7532234191894527,0.13396463728855462,1.0,5.0
6,4.336266040802002,0.17451536512505744,1.0,5.0
7,4.914134979248047,0.16955591066422548,1.0,5.0
0,1.2636373043060305,0.2708058678789533,1.0,6.0
1,1.5856298208236697,0.14427436334832322,1.0,6.0
2,2.0706634521484366,0.05508001045732546,1.0,6.0
3,2.571993112564087,0.06071371861243998,1.0,6.0
4,3.182913780212403,0.07376598540138571,1.0,6.0
5,3.7532234191894527,0.08992179812420092,1.0,6.0
6,4.336266040802002,0.10412924121669385,1.0,6.0
7,4.914134979248047,0.10942608399460528,1.0,6.0
0,1.2636373043060305,0.29782886130090364,2.0,3.0
1,1.5856298208236697,0.0937606376776898,2.0,3.0
2,2.0706634521484366,0.234641293795684,2.0,3.0
3,2.571993112564087,0.2820866951421997,2.0,3.0
4,3.182913780212403,0.30479261461862633,2.0,3.0
5,3.7532234191894527,0.3085242434037214,2.0,3.0
6,4.336266040802002,0.2968453700323182,2.0,3.0
7,4.914134979248047,0.34021192556021007,2.0,3.0
0,1.2636373043060305,0.33374308710089046,2.0,4.0
1,1.5856298208236697,0.1194884438815597,2.0,4.0
2,2.0706634521484366,0.1122512312128493,2.0,4.0
3,2.571993112564087,0.10487385170146012,2.0,4.0
4,3.182913780212403,0.14957905262316262,2.0,4.0
5,3.7532234191894527,0.13951065470403318,2.0,4.0
6,4.336266040802002,0.15080224241799403,2.0,4.0
7,4.914134979248047,0.19117515639655636,2.0,4.0
0,1.2636373043060305,0.23189102775379095,2.0,5.0
1,1.5856298208236697,0.09351538782110531,2.0,5.0
2,2.0706634521484366,0.10322808826892518,2.0,5.0
3,2.571993112564087,0.13890647154111124,2.0,5.0
4,3.182913780212403,0.14086257298377702,2.0,5.0
5,3.7532234191894527,0.16299602619246548,2.0,5.0
6,4.336266040802002,0.14527128107790235,2.0,5.0
7,4.914134979248047,0.21524379459197954,2.0,5.0
0,1.2636373043060305,0.2661448441634826,2.0,6.0
1,1.5856298208236697,0.15729704194098632,2.0,6.0
2,2.0706634521484366,0.06102286015729493,2.0,6.0
3,2.571993112564087,0.06224724977251877,2.0,6.0
4,3.182913780212403,0.07204915259162296,2.0,6.0
5,3.7532234191894527,0.08867105795906141,2.0,6.0
6,4.336266040802002,0.10355812371638758,2.0,6.0
7,4.914134979248047,0.11737830815926506,2.0,6.0
0,1.2636373043060305,0.3535964723430695,5.0,3.0
1,1.5856298208236697,0.06191219770929152,5.0,3.0
2,2.0706634521484366,0.2088214000501461,5.0,3.0
3,2.571993112564087,0.3319336362297751,5.0,3.0
4,3.182913780212403,0.2793835267330374,5.0,3.0
5,3.7532234191894527,0.30415507680801623,5.0,3.0
6,4.336266040802002,0.2888715509284908,5.0,3.0
7,4.914134979248047,0.33544778060374786,5.0,3.0
0,1.2636373043060305,0.2992702337777313,5.0,4.0
1,1.5856298208236697,0.06731050570865031,5.0,4.0
2,2.0706634521484366,0.09734793388135822,5.0,4.0
3,2.571993112564087,0.10216421195735632,5.0,4.0
4,3.182913780212403,0.13172417559686397,5.0,4.0
5,3.7532234191894527,0.13719127136309475,5.0,4.0
6,4.336266040802002,0.16213430890131092,5.0,4.0
7,4.914134979248047,0.22941874734022788,5.0,4.0
0,1.2636373043060305,0.2231755435614455,5.0,5.0
1,1.5856298208236697,0.09887172655020332,5.0,5.0
2,2.0706634521484366,0.09775950410254557,5.0,5.0
3,2.571993112564087,0.15003406931955837,5.0,5.0
4,3.182913780212403,0.11938939443539152,5.0,5.0
5,3.7532234191894527,0.13069868313738897,5.0,5.0
6,4.336266040802002,0.14935849588430383,5.0,5.0
7,4.914134979248047,0.5769142771240345,5.0,5.0
0,1.2636373043060305,0.27696951724914465,5.0,6.0
1,1.5856298208236697,0.11784747934514683,5.0,6.0
2,2.0706634521484366,0.051122308750958134,5.0,6.0
3,2.571993112564087,0.059508652441710816,5.0,6.0
4,3.182913780212403,0.07466183811411924,5.0,6.0
5,3.7532234191894527,0.08506515084664677,5.0,6.0
6,4.336266040802002,0.0978283994675933,5.0,6.0
7,4.914134979248047,0.11707956847959729,5.0,6.0
